title,registration_number,registration_date,language,periodicity,publisher,owner,publication_state,publication_district
A,34415,1982-04-10,Bengali,Quarterly,SATARUPA SANYA,SATARUPA SANYA,West Bengal,Kolkata
A &S INDIA,MAHENG/2014/63969,2015-09-03,English,Monthly,MANISH MOHAN SINGH GANDHI,OIL ASIA PUBLICATION PVT LTD,Maharashtra,Mumbai
A AND V PUB INTERNATIONAL JOURNAL OF NURSING AND MEDICAL RESEARCH,CHHENG/2022/83874,2023-04-24,English,Quarterly,MONIKA SANJAY DAHARWAL,A AND V PUBLICATIONS,Chhattisgarh,Raipur
A D I T I NATIONAL STRATEGY MAGAZINE,TGENG/26/A5935,2026-07-24,English,Bimonthly (Once in two months),KARTIKEYA GUPT,CENTRE FOR STRATEGY CONSULTATION ANALYSES AND NETWORK,Telangana,Rangareddy
A D NEWS,70043,2011-11-05,Gujarati,Weekly,JAYESH V. JADAV,JAYESH V. JADAV,Gujarat,Surendranagar
A L C NAVBHARAT UJALA NEWS,UPHIN/25/A4493,2025-12-01,Hindi,Weekly,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Uttar Pradesh,Moradabad
A L C NAVBHARAT UJALA NEWS,UAHIN/26/A4902,2026-06-10,Hindi,Daily,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Uttarakhand,Dehradun
A L C NAVBHARAT UJALA NEWS,DLHIN/26/A3197,2026-05-06,Hindi,Daily,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Delhi,New Delhi
A L C NAVBHARAT UJALA NEWS,UPHIN/26/A2193,2026-04-06,Hindi,Daily,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Uttar Pradesh,Moradabad
A MIRROR OF FINANCIAL INSTITUTIONS & BANKS IN ODISHA,ODIENG/2012/47852,2013-02-06,English,Annual,RASHMITA MOHAPATRA,VIGYANPAN,Odisha,Khordha
A NEW CHAPTER,MAHENG/2023/86689,2024-03-28,English,Monthly,DILSHAD ANJUM SIRAJ WAHAB,DILSHAD ANJUM SIRAJ WAHAB,Maharashtra,Chhatrapati Sambhaji Nagar
A ONE NEWS,MAHMAR/2015/64294,2015-10-15,Marathi,Daily Evening,PRAKASH DAGA SHIRSATH,PRAKASH DAGA SHIRSATH,Maharashtra,Dhule
A ONE NEWS,TGTEL/25/A4902,2025-12-08,Telugu,Daily,Uduthala Ramesh,Uduthala Ramesh,Telangana,Rangareddy
A ONE NOVEL,42806,1988-01-01,Tamil,,,,,
A ONE SAMACHAR,UPBIL/2023/84195,2023-05-13,"English, HINDI",Monthly,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow
A ONE SAMACHAR,UPURD/2021/81384,2022-04-13,Urdu,Weekly,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow
A ONE SAMACHAR,UPBIL/2023/84204,2023-05-16,"English, HINDI",Daily,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow
A ONE TOHANA,HARHIN/2015/71026,2017-04-17,Hindi,Weekly,PREM SINGH,PREM SINGH,Haryana,Fatehabad
A PERFECT POTRAIT OF GODS OWN COUNTRY KERALA TOURISM MAGAZINE,KERENG/2011/36921,2011-04-27,English,Monthly,RAVISANKAR. K.V,RAVISANKAR K.V.,Kerala,Thiruvananthapuram
A RAY OF HOPE,APURD/2012/47434,2013-01-14,Urdu,Monthly,SYED ABDUL KHADER QUADRI,SYED ABDUL KHADER QUADRI,Andhra Pradesh,Hyderabad
A RAY OF HOPE,APURD/2013/50372,2013-06-19,Urdu,Daily,SYED ABDUL KHADER QUADRI,SYED ABDUL KHADER QUADRI,Andhra Pradesh,Hyderabad
A S RAO NAGAR TIMES,TELBIL/2017/72628,2017-07-25,"English, Telugu",Weekly,M. MEENALATHA SREENIVAS,M MEENALATHA SREENIVAS,Telangana,Hyderabad
A STAR NEWS TELUGU,APTEL/25/A1742,2025-07-07,Telugu,Daily,APPIKONDA NARENDRASANJEEV,APPIKONDA NARENDRASANJEEV,Andhra Pradesh,Visakhapatnam
A STAR TODAY,MPHIN/2015/61966,2015-05-19,Hindi,Monthly,KAMAL SINGH,KAMAL SINGH,Madhya Pradesh,Bhopal
A STRAIGHT EXPRESS,MPHIN/2015/61709,2015-05-01,Hindi,Weekly,ALANKRIT KUMAR DUBEY,ALANKRIT KUMAR DUBEY,Madhya Pradesh,Bhopal
A TO Z FREE CLASSIFIEDS,KERBIL/2010/32470,2010-05-31,"English, Malayalam",Weekly,SREEJA  SS,SREEJA S.S.,Kerala,Kottayam
A TO Z GUJARAT,GUJGUJ/2010/34696,2010-12-13,Gujarati,Fortnightly,SURESH KHODABHAI KOTADIYA,SURESH KHODABHAI KOTADIYA,Gujarat,Rajkot
A TO Z INDIA,TNBIL/2017/75531,2018-09-10,"English, Tamil",Monthly,INDIRA SRIVATSA,INDIRA SRIVATSA,Tamil Nadu,Chennai
A TO Z SAMACHAR,UPHIN/2014/58363,2014-11-18,Hindi,Daily,NIGHAT NASEEM,NIGHAT NASEEM,Uttar Pradesh,Lucknow
A TO Z SAMACHAR,UPHIN/2012/45272,2012-09-17,Hindi,Monthly,NIGHAT NASEEM,NIGHAT NASEEM,Uttar Pradesh,Lucknow
A VANGNARDA,16047,1966-01-01,"English, KONKANI",Weekly,BONEFACIS DIAS,NAGHSH M TENDULKAR,Goa,South Goa
A-ONE MAIL,63539,1996-04-19,Hindi,Weekly,REKHA DEVI,Rekha Devi,Uttarakhand,Dehradun
A-SERIES IN PODHUARIVU ULAGAM,TNBIL/2004/13686,2004-11-23,"English, Tamil",Monthly,NAKKHEERAN GOPAL,NAKKHEERAN PUBLICATIONS,Tamil Nadu,Chennai
A.K,71099,1999-07-07,Gujarati,Weekly,CHIMANBHAI K. SHAH,ASHVI KUMAR,Gujarat,Surendranagar
A.K. SURYAVAMSHI SAMACHAR,APBIL/2006/18930,2007-03-30,"Telugu, Hindi",Monthly,J. GANGADHAR,J. GANGADHAR,Telangana,Hyderabad
A.P. CHAMPION,APTEL/2011/44044,2012-07-12,Telugu,Monthly,JAMBULA RAMESH REDDY,JAMBULA RAMESH REDDY,Andhra Pradesh,Anantapur
A.P. EXPRESS NEWS 5,APTEL/2011/36997,2011-05-02,Telugu,Monthly,K. VIJAYA SIMHAREDDY,K. VIJAYASIMHA REDDY,Andhra Pradesh,Anantapur
A.P.CABLE TIMES,APTEL/2000/03094,2001-03-21,Telugu,Monthly,KASIBHATLA GIRIDHAR,KASIBHATLA GIRIDHAR,Telangana,Hyderabad
A.R.C.E.NEWSLETTER (SAMVADI),43073,1985-10-24,English,Quarterly,SUBHDA CHOUDHARY,AMERICAN INSTT. OF INDIA STUDIES,Delhi,New Delhi
A.T. MEDIA WEB NEWS,UPHIN/2010/37387,2011-05-20,Hindi,Weekly,MURARI SINGH TAPASVI,MURARI SINGH TAPASVI,Uttar Pradesh,Fatehpur
AA BEL MUJHE MAAR,MPHIN/2003/12882,2004-06-29,Hindi,Fortnightly,RAJESH TANTRIK,RAJESH TANTRIK,Madhya Pradesh,Chhindwara
AAB E HAYAT,MPURD/2013/51453,2013-08-16,Urdu,Weekly,IRFAN ALAM QASMI,IRFAN ALAM QASMI,Madhya Pradesh,Bhopal
AABAD WATAN,MAHHIN/2012/41678,2012-04-19,Hindi,Weekly,SHIVAJI AMARNATH PANDEY,SHIVAJI AMARNATH PANDEY,Maharashtra,Thane
AABADI KI GUNJ,MPHIN/2018/76628,2018-12-31,Hindi,Weekly,MALKHAN SINGH KUSHWAHA,MALKHAN SINGH KUSHWAHA,Madhya Pradesh,Indore
AABEGA,ODIODI/2013/54531,2014-02-08,Oriya,Weekly,SUSANTA KUMAR NAYAK,SUSANTA KUMAR NAYAK,Odisha,Khordha
