"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"1001","AARUTHALIN DEVAN","TNTAM/2016/69402","07-12-2016","Tamil","Monthly","T. DAVID SHANMUGAM","T.DAVID SHANMUGAM","Tamil Nadu","Thiruvallur"
"1002","AARVI KI AVRATI","UTTHIN/2022/81757","26-07-2022","Hindi","Weekly","RAVI PANWAR","RAVI PANWAR","Uttarakhand","Dehradun"
"1003","AARVI SANDESH","UPHIN/25/A4271","21-11-2025","Hindi","Monthly","TARUN JAISWAL","TARUN JAISWAL","Uttar Pradesh","Lucknow"
"1004","AARVI SANDESH","UPHIN/25/A1751","07-07-2025","Hindi","Daily","TARUN JAISWAL","TARUN JAISWAL","Uttar Pradesh","Lucknow"
"1005","AARVIKA TIMES","MPHIN/2023/88591","20-08-2024","HINDI","Weekly","SURAJ KAHAR","SURAJ KAHAR","Madhya Pradesh","Chhindwara"
"1006","AARYA KARNATAKA","KARKAN/2022/89352","03-10-2024","KANNADA","Monthly","JAI JAGATH PRAKASH.S.K","JAI JAGATH PRAKASH S K","Karnataka","Bengaluru"
"1007","AARYA PRAHAR","MAHMAR/2013/52161","23-09-2013","Marathi","Weekly","SUDHIR NAMDEO PATIL","SUDHIR NAMDEO PATIL","Maharashtra","Raigad"
"1008","AARYA PUTRA","UTTHIN/2009/27699","14-05-2009","Hindi","Weekly","PRAMENDRA DESHWAL","PRAMENDRA DESHWAL","Uttarakhand","Haridwar"
"1009","AARYA SAMAY","MPHIN/2020/79369","17-02-2021","Hindi","Weekly","RAGHUNANDAN SHUKLA","RAGHUNANDAN SHUKLA","Madhya Pradesh","Jabalpur"
"1010","AARYA WRAT","MHMAR/25/A0711","30-05-2025","Marathi","Weekly","Anil Shivaji Kharge","Anil Shivaji Kharge","Maharashtra","Jalna"
"1011","AARYANANDI SANDESH","MAHMAR/2021/81318","05-04-2022","Marathi","Monthly","DR. RAJESH RATILAL PHADKULE","DR. RAJESH RATILAL PHADKULE","Maharashtra","Solapur"
"1012","AARYAVART KI KALAM","RAJHIN/2015/66686","14-04-2016","Hindi","Fortnightly","RAVI GAHLOT","RAVI GEHLOT","Rajasthan","Bikaner"
"1013","AARYDIP  KAMALAM","GJGUJ/26/A3690","13-05-2026","Gujarati","Weekly","Darji Jaydipkumar Amrutbhai","Darji Jaydipkumar Amrutbhai","Gujarat","Kheda"
"1014","AAS PAAS INTERNATIONAL","KARBIL/2002/12456","19-03-2002","English, Urdu","Bimonthly (Once in two months)","V AHMED M FAROOQUI","V AHMED M FAROOQUI","Karnataka","Bengaluru"
"1015","AASA VERSA","ODIODI/2016/67717","30-06-2016","Oriya","Fortnightly","SAILABALA SAHOO","SAILABALA SAHOO","Odisha","Khordha"
"1016","AASHA GUJARAT KI","GUJGUJ/2021/80749","28-12-2021","Gujarati","Fortnightly","TADVI MITESHBHAI VIMALBHAI","TADVI MITESHBHAI VIMALBHAI","Gujarat","Vadodara"
"1017","AASHA JYOTHI","APTEL/2006/18016","26-12-2006","Telugu","Daily","P. DILLI BABU REDDY","P.DILLI BABU REDDY","Telangana","Hyderabad"
"1018","AASHA JYOTHI","APTEL/2016/70068","19-01-2017","Telugu","Daily","P. DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore"
"1019","AASHA JYOTHI","APTEL/2017/74188","14-12-2017","Telugu","Daily","P. DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","Krishna"
"1020","AASHA JYOTHI","TEL/2004/14879","24-06-2005","Telugu","Daily","P.DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","Chittoor"
"1021","AASHA JYOTHI","APTEL/2020/80295","05-10-2021","Telugu","Daily","P.DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","East Godavari"
"1022","AASHA JYOTHI","APTEL/26/A1362","25-02-2026","Telugu","Daily","P DILLI BABU REDDY","P DILLI BABU REDDY","Andhra Pradesh","Visakhapatnam"
"1023","AASHA KI KIRAN","MPHIN/2014/59290","29-12-2014","Hindi","Monthly","FARHEEN KHAN","FARHEEN KHAN","Madhya Pradesh","Bhopal"
